name,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,max_supply,ath,atl,last_updated
dogwifhat,0.698977,699169432,125,835570239.0,998926392.0,998926392.0,998926392.0,4.83,0.00155464,2025-02-15T10:20:45.870Z
Curve DAO,0.528422,678349031,126,131137432.0,1283675231.0,2226655891.707863,3303030299.0,15.37,0.180354,2025-02-15T10:20:45.346Z
Mantle Restaked ETH,2847.6,671139488,127,5596750.0,235743.708745378,235743.708745378,,4298.87,2476.46,2025-02-15T10:20:41.399Z
Helium,3.76,666540607,128,5900212.0,177394590.4600469,223000000.0,223000000.0,54.88,0.113248,2025-02-15T10:20:48.984Z
Pudgy Penguins,0.0103149,648348574,129,165124803.0,62860396090.0,76724221271.99486,88888888888.0,0.068447,0.00934174,2025-02-15T10:20:44.750Z
L2 Standard Bridged WETH (Base),2698.17,646572711,130,559496823.0,239636.4894695756,239636.4894695756,,4096.05,2160.5,2025-02-15T10:20:42.635Z
Berachain,5.98,644594431,131,205372131.0,107538466.2187136,500056114.6784662,,14.83,4.79,2025-02-15T10:20:50.315Z
Aerodrome Finance,0.833715,643624185,132,25227736.0,771398191.4328502,1502602368.729197,,2.32,1.861e-05,2025-02-15T10:20:42.382Z
MultiversX,22.98,641821252,133,20990418.0,27928791.0,27928791.0,31415926.0,545.64,6.51,2025-02-15T10:20:46.135Z
PayPal USD,0.999995,637403374,134,35212505.0,637669713.225851,637669713.326093,,1.021,0.959426,2025-02-15T10:20:44.834Z
Frax,0.995863,631766884,135,7084869.0,634433438.165934,634433438.165934,,1.14,0.874536,2025-02-15T10:20:46.678Z
usdx.money USDX,0.998361,623524711,136,120180.0,624555383.8143767,624555383.8143767,,1.057,0.944423,2025-02-15T10:20:40.321Z
Decentraland,0.333429,622908077,137,46734774.0,1868008854.00193,2193179327.320146,2193179327.320146,5.85,0.00923681,2025-02-15T10:20:45.525Z
Arweave,9.44,617686478,138,41711855.0,65454185.5381511,65454185.5381511,66000000.0,89.24,0.298788,2025-02-15T10:20:42.621Z
Starknet,0.235317,608135657,139,42157138.0,2582076157.577993,10000000000.0,10000000000.0,4.41,0.192648,2025-02-15T10:20:46.904Z
Pendle,3.63,599021555,140,80959600.0,164918915.2362901,258446028.2446348,258446028.2446348,7.5,0.03377729,2025-02-15T10:20:44.595Z
PAX Gold,2906.29,598225193,141,31247375.0,205914.878,205914.878,,2957.23,1399.64,2025-02-15T10:20:44.625Z
dYdX,0.803969,589399835,142,21648241.0,732739735.0195789,732739735.0195789,1000000000.0,4.52,0.61662,2025-02-15T10:20:45.727Z
Conflux,0.118455,582864444,143,32733958.0,4922685363.946279,5594528943.51975,,1.7,0.02199898,2025-02-15T10:20:45.104Z
Polygon,0.320666,576939762,144,6227528.0,1799017542.505083,10000000000.0,10000000000.0,2.92,0.00314376,2025-02-15T10:20:42.119Z
Beam,0.01093797,575520783,145,39279414.0,52561007898.0,61148853857.0,61148853857.0,0.04416304,0.0043383,2025-02-15T10:20:43.209Z
Chiliz,0.060948,573251533,146,90602019.0,9407770201.0,9407770201.0,,0.878633,0.00410887,2025-02-15T10:20:44.811Z
Resolv USR,1.0,572086093,147,3451913.0,572076937.294609,572076937.294609,,1.022,0.979619,2025-02-15T10:20:45.838Z
pumpBTC,94356.0,565594591,148,276168.0,5994.31977198,5994.31977198,,107240.0,48890.0,2025-02-15T10:20:44.433Z
MEOW,0.00627224,564531958,149,1638652.0,89999918111.44402,89999918111.44402,90000000000.0,0.00923668,3.4e-06,2025-02-15T10:20:41.660Z
Arbitrum Bridged WETH (Arbitrum One),2698.77,561092812,150,334844608.0,207902.017559024,207902.017559024,,4097.16,2161.12,2025-02-15T10:20:43.520Z
ether.fi Staked ETH,2696.84,548857103,151,57324.0,203190.8566975924,2222332.823300705,,5307.23,2155.76,2025-02-15T10:20:45.861Z
Core,0.547914,544454550,152,46949412.0,994883956.3127835,2100000000.0,2100000000.0,6.14,0.334237,2025-02-15T10:20:45.121Z
INSURANCE,29.03,542778123,153,11835.76,18700000.0,98000000.0,100000000.0,30.11,2.16,2025-02-15T10:20:47.885Z
ApeCoin,0.728906,526690986,155,70929707.0,721448863.0,1000000000.0,1000000000.0,26.7,0.482009,2025-02-15T10:20:49.583Z
eCash,2.655e-05,526410914,154,23263725.0,19825395297583.0,19825395297583.0,21000000000000.0,0.00038001,1.847e-05,2025-02-15T10:20:47.584Z
Zcash,32.83,522738896,156,27835101.0,15898589.2280448,15899981.4155448,21000000.0,3191.93,16.08,2025-02-15T10:20:41.643Z
Beldex,0.075327,520482377,157,3539282.0,6913632927.285709,9931649514.904861,,0.450785,0.00027519,2025-02-15T10:20:43.172Z
Wormhole,0.181305,519780627,158,31284788.0,2864065923.0,10000000000.0,10000000000.0,1.66,0.158932,2025-02-15T10:20:41.311Z
Kava,0.475388,514532768,159,11164493.0,1082853808.0,1082853808.0,,9.12,0.247359,2025-02-15T10:20:41.220Z
AIOZ Network,0.44729,512763090,160,14363757.0,1147403329.169904,1157086168.693986,,2.65,0.01099588,2025-02-15T10:20:42.235Z
Compound,57.06,506163207,161,72403303.0,8869867.764903441,10000000.0,10000000.0,910.54,25.74,2025-02-15T10:20:45.011Z
TrueUSD,0.998363,494774622,162,20705345.0,495516083.0,495516083.0,,1.62,0.88355,2025-02-15T10:20:48.090Z
